Candidate	Party	Rank	Gender	Norwegian	Ethnicity	Birth Year	Priority	County	Code	Municipality
Ståle Sørensen	MDG	1	Male	Norsk		1972	YES	Buskerud	0602	Drammen
Tonje Fossnes	MDG	2	Female	Norsk		1962	YES	Buskerud	0602	Drammen
Thorbjørn Faber Geirbo	MDG	3	Male	Norsk		1973	YES	Buskerud	0602	Drammen
Line Lieblein Røsæg	MDG	4	Female	Norsk		1987	NO	Buskerud	0602	Drammen
Håkon Holm Solberg	MDG	5	Male	Norsk		1978	NO	Buskerud	0602	Drammen
Silje Marie Breivik	MDG	6	Female	Norsk		1991	NO	Buskerud	0602	Drammen
Nils Nordenstrøm	MDG	7	Male	Norsk		1935	NO	Buskerud	0602	Drammen
Inger Jorunn Lauvstad	MDG	8	Female	Norsk		1945	NO	Buskerud	0602	Drammen
Espen Jørgensen	MDG	9	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Hanna-Sofia Lundberg	MDG	10	Female	Norsk		1985	NO	Buskerud	0602	Drammen
Soran Hasani	MDG	11	Male	Non	Swahili	1987	NO	Buskerud	0602	Drammen
Maarit Mantila Hanssen	MDG	12	Female	Norsk		1952	NO	Buskerud	0602	Drammen
Carl Emil Vogt	MDG	13	Male	Norsk		1974	NO	Buskerud	0602	Drammen
Trine Rasmussen	MDG	14	Female	Norsk		1987	NO	Buskerud	0602	Drammen
Bernt Bjørge	MDG	15	Male	Norsk		1954	NO	Buskerud	0602	Drammen
Karima Bitta	MDG	16	Female	Non	Arabic	1971	NO	Buskerud	0602	Drammen
Jon Knutzen	MDG	17	Male	Norsk		1938	NO	Buskerud	0602	Drammen
Siv Linette Grann	MDG	18	Female	Norsk		1984	NO	Buskerud	0602	Drammen
Jørgen Rudolph Låker	MDG	19	Male	Norsk		1971	NO	Buskerud	0602	Drammen
Anne Marie Knudsen	MDG	20	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Runar Botnen Totland	MDG	21	Male	Norsk		1977	NO	Buskerud	0602	Drammen
Brit Standnes	MDG	22	Female	Norsk		1941	NO	Buskerud	0602	Drammen
Claus Sohn Andersen	MDG	23	Male	Norsk		1980	NO	Buskerud	0602	Drammen
Sissel Margareth Jenseth	MDG	24	Female	Norsk		1956	NO	Buskerud	0602	Drammen
Espen Bunæs	MDG	25	Male	Norsk		1971	NO	Buskerud	0602	Drammen
Laura Marie La Cour Andresen	MDG	26	Female	Non	French	1986	NO	Buskerud	0602	Drammen
Geir Langslet	MDG	27	Male	Norsk		1956	NO	Buskerud	0602	Drammen
Sibel Ayper Tasdemir	MDG	28	Female	Non	Turkish	1988	NO	Buskerud	0602	Drammen
Helge  Hiram  Jensen 	MDG	29	Male	Norsk		1976	NO	Buskerud	0602	Drammen
Kamilla Røed Tychesen	MDG	30	Female	Norsk		1980	NO	Buskerud	0602	Drammen
Petter Brudal	MDG	31	Male	Norsk		1946	NO	Buskerud	0602	Drammen
Bjørg Kristin Haaland	MDG	32	Female	Norsk		1954	NO	Buskerud	0602	Drammen
Alene Alemu Tesfamichael	MDG	33	Male	Non	Ethiopian	1965	NO	Buskerud	0602	Drammen
Ann-Cathrin Lindland Løvstad	MDG	34	Female	Norsk		1970	NO	Buskerud	0602	Drammen
Richard Søderholm	MDG	35	Male	Norsk		1962	NO	Buskerud	0602	Drammen
Unni Høiby	MDG	36	Female	Norsk		1958	NO	Buskerud	0602	Drammen
Bjørn Peter Morken	MDG	37	Male	Norsk		1951	NO	Buskerud	0602	Drammen
Bjørg Vestengen Nessjøen	MDG	38	Female	Norsk		1939	NO	Buskerud	0602	Drammen
Ralf Heberling	MDG	39	Male	Norsk		1957	NO	Buskerud	0602	Drammen
Anne Britt Meese	MDG	40	Female	Norsk		1965	NO	Buskerud	0602	Drammen
Brigt Hope	MDG	41	Male	Norsk		1977	NO	Buskerud	0602	Drammen
Heidi Reinsfelt Krogh	MDG	42	Female	Norsk		1957	NO	Buskerud	0602	Drammen
Petter Hauglum Bermingrud	MDG	43	Male	Norsk		1989	NO	Buskerud	0602	Drammen
Turid Aakvik	MDG	44	Female	Norsk		1977	NO	Buskerud	0602	Drammen
Kjetil Mygland	MDG	45	Male	Norsk		1976	NO	Buskerud	0602	Drammen
Britt Tove Gunnerud Håkonsen	MDG	46	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Torhild Synøve Røed	MDG	47	Female	Norsk		1949	NO	Buskerud	0602	Drammen
Arnfinn Olsen	MDG	48	Male	Norsk		1972	NO	Buskerud	0602	Drammen
Ida Elisabeth Normann	MDG	49	Female	Norsk		1955	NO	Buskerud	0602	Drammen
Erik Rømcke	MDG	50	Male	Norsk		1942	NO	Buskerud	0602	Drammen
Charlotte Møllen	MDG	51	Female	Norsk		1974	NO	Buskerud	0602	Drammen
Arne Steen Vesterlid	MDG	52	Male	Norsk		1959	NO	Buskerud	0602	Drammen
Kristel Helene Brandser	MDG	53	Female	Norsk		1957	NO	Buskerud	0602	Drammen
Øyvind Lundberg Nilsen	MDG	54	Male	Norsk		1960	NO	Buskerud	0602	Drammen
Masud Gharahkhani	AP	1	Male	Non	Indian	1982	YES	Buskerud	0602	Drammen
Merete Andrea Risan	AP	2	Female	Norsk		1955	YES	Buskerud	0602	Drammen
Arve Vannebo	AP	3	Male	Norsk		1967	YES	Buskerud	0602	Drammen
Lin-Merete Carlsen	AP	4	Female	Norsk		1975	YES	Buskerud	0602	Drammen
Eivind Knudsen	AP	5	Male	Norsk		1989	YES	Buskerud	0602	Drammen
Nicoline Bjerge Schie	AP	6	Female	Norsk		1990	YES	Buskerud	0602	Drammen
Dag Ingvald Ebbestad	AP	7	Male	Norsk		1954	NO	Buskerud	0602	Drammen
Aisha Ahmed	AP	8	Female	Non	Arabic	1989	NO	Buskerud	0602	Drammen
Andreas Brandt	AP	9	Male	Norsk		1992	NO	Buskerud	0602	Drammen
Lise Løff	AP	10	Female	Norsk		1952	NO	Buskerud	0602	Drammen
Tony Burner	AP	11	Male	Norsk		1980	NO	Buskerud	0602	Drammen
Sølvi Brandt Bestvold	AP	12	Female	Norsk		1960	NO	Buskerud	0602	Drammen
Arif Erkök	AP	13	Male	Non	Turkish	1976	NO	Buskerud	0602	Drammen
Marthe Berg Reffhaug	AP	14	Female	Norsk		1987	NO	Buskerud	0602	Drammen
Vegard Eliassen Stillerud	AP	15	Male	Norsk		1987	NO	Buskerud	0602	Drammen
Karoline Soot	AP	16	Female	Norsk		1994	NO	Buskerud	0602	Drammen
Torbjørn Andreas Pettersen	AP	17	Male	Norsk		1950	NO	Buskerud	0602	Drammen
Jorun Jagland	AP	18	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Jan Ivar Weimoth	AP	19	Male	Norsk		1952	NO	Buskerud	0602	Drammen
Britt Skogmo Antonsen	AP	20	Female	Norsk		1956	NO	Buskerud	0602	Drammen
Steinar Evensen	AP	21	Male	Norsk		1970	NO	Buskerud	0602	Drammen
Nina Merethe Paulsen-Sveen	AP	22	Female	Norsk		1979	NO	Buskerud	0602	Drammen
Per Arthur Christensen	AP	23	Male	Norsk		1958	NO	Buskerud	0602	Drammen
Lina Strandbråten	AP	24	Female	Norsk		1995	NO	Buskerud	0602	Drammen
Jørn Erik Olsen	AP	25	Male	Norsk		1961	NO	Buskerud	0602	Drammen
Ingrid Marie Ross Solberg	AP	26	Female	Norsk		1944	NO	Buskerud	0602	Drammen
Sylo Taraku	AP	27	Male	Non	Greek	1973	NO	Buskerud	0602	Drammen
Hege Rognerud	AP	28	Female	Norsk		1953	NO	Buskerud	0602	Drammen
Tore Einar Hansen	AP	29	Male	Norsk		1942	NO	Buskerud	0602	Drammen
Victoria Øverland	AP	30	Female	Norsk		1997	NO	Buskerud	0602	Drammen
Jens Kristen Haugfos	AP	31	Male	Norsk		1954	NO	Buskerud	0602	Drammen
Havva Cukurkaya	AP	32	Female	Non	Hebrew	1977	NO	Buskerud	0602	Drammen
Bendik Thun	AP	33	Male	Norsk		1995	NO	Buskerud	0602	Drammen
Svein Helge Moen	AP	34	Male	Norsk		1947	NO	Buskerud	0602	Drammen
Morten Almsbakken	AP	35	Male	Norsk		1962	NO	Buskerud	0602	Drammen
Lola Awoyemi	AP	36	Female	Non	Nigerian	1957	NO	Buskerud	0602	Drammen
Hein Lindquist	AP	37	Male	Norsk		1964	NO	Buskerud	0602	Drammen
Tove Kvernhaug	AP	38	Female	Norsk		1956	NO	Buskerud	0602	Drammen
Nils Stablum	AP	39	Male	Norsk		1949	NO	Buskerud	0602	Drammen
Karin Bekken Aasheim	AP	40	Female	Norsk		1938	NO	Buskerud	0602	Drammen
Egil Knudsen	AP	41	Male	Norsk		1954	NO	Buskerud	0602	Drammen
Kari Dahl Nilsen	AP	42	Female	Norsk		1958	NO	Buskerud	0602	Drammen
Per Olav Horne	AP	43	Male	Norsk		1968	NO	Buskerud	0602	Drammen
Marianne Lundteigen	SP	1	Female	Norsk		1953	YES	Buskerud	0602	Drammen
Trine  Borge Johansen	SP	2	Female	Norsk		1945	NO	Buskerud	0602	Drammen
Tayfun Candogan	SP	3	Male	Non	Turkish	1966	NO	Buskerud	0602	Drammen
Morten Ottesen Haldorhamn	SP	4	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Sonja  Sandvik	SP	5	Female	Norsk		1967	NO	Buskerud	0602	Drammen
Erik Borgar Sandvik	SP	6	Male	Norsk		1961	NO	Buskerud	0602	Drammen
Eirin Lillehof	SP	7	Female	Norsk		1973	NO	Buskerud	0602	Drammen
Ingar  Steen	SP	8	Male	Norsk		1948	NO	Buskerud	0602	Drammen
Abdullah Karaboyun	SP	9	Male	Non	Turkish	1992	NO	Buskerud	0602	Drammen
Nils Borge	SP	10	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Harald  Hindhamar	SP	11	Male	Norsk		1934	NO	Buskerud	0602	Drammen
Ketil Skipnes	SP	12	Male	Norsk		1964	NO	Buskerud	0602	Drammen
Dag  Gundesø	SP	13	Male	Norsk		1953	NO	Buskerud	0602	Drammen
Terje Roar Tollefsen	SP	14	Male	Norsk		1943	NO	Buskerud	0602	Drammen
Willy Søgaard	SP	15	Male	Norsk		1934	NO	Buskerud	0602	Drammen
Hans Gundesø	SP	16	Male	Norsk		1941	NO	Buskerud	0602	Drammen
Gerd Aashild Sauar	SP	17	Female	Norsk		1936	NO	Buskerud	0602	Drammen
Ole Jacob Ottesen	SP	18	Male	Norsk		1933	NO	Buskerud	0602	Drammen
Fridtjof Vik	SP	19	Male	Norsk		1922	NO	Buskerud	0602	Drammen
Rune Kjeldsen	SV	1	Male	Norsk		1955	YES	Buskerud	0602	Drammen
Lene Aure Hansen	SV	2	Female	Norsk		1978	YES	Buskerud	0602	Drammen
Sadi Emeci	SV	3	Male	Non	Arabic	1967	YES	Buskerud	0602	Drammen
Åse Lund	SV	4	Female	Norsk		1982	NO	Buskerud	0602	Drammen
Håvard Skarre	SV	5	Male	Norsk		1978	NO	Buskerud	0602	Drammen
Haldis Sofie Garnås	SV	6	Female	Norsk		1953	NO	Buskerud	0602	Drammen
Kjetil Balog	SV	7	Male	Norsk		1983	NO	Buskerud	0602	Drammen
Sahar Madahian	SV	8	Female	Non	Persian	1976	NO	Buskerud	0602	Drammen
Bernt Sauren	SV	9	Male	Norsk		1974	NO	Buskerud	0602	Drammen
Ida Solvang	SV	10	Female	Norsk		1997	NO	Buskerud	0602	Drammen
Brede Holst	SV	11	Male	Norsk		1951	NO	Buskerud	0602	Drammen
Marianne Stensrud	SV	12	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Boye Andreas Molberg	SV	13	Male	Norsk		1990	NO	Buskerud	0602	Drammen
Eilin Ekeland	SV	14	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Erik  T. Kongshavn	SV	15	Male	Norsk		1986	NO	Buskerud	0602	Drammen
Maren Storlien Syltevik	SV	16	Female	Norsk		1980	NO	Buskerud	0602	Drammen
Ismet Konjic	SV	17	Male	Non	Turkish	1950	NO	Buskerud	0602	Drammen
Liv Elisabeth Havnerås	SV	18	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Thomas Skrede	SV	19	Male	Norsk		1972	NO	Buskerud	0602	Drammen
Tina Juliane A. Aas	SV	20	Female	Norsk		1977	NO	Buskerud	0602	Drammen
Nasir Gondal	SV	21	Male	Non	Pakistani	1965	NO	Buskerud	0602	Drammen
Per K.  Andersen	SV	22	Male	Norsk		1945	NO	Buskerud	0602	Drammen
Inger Johanne Storlien	SV	23	Female	Norsk		1953	NO	Buskerud	0602	Drammen
Jan Dag Michalsen	SV	24	Male	Norsk		1956	NO	Buskerud	0602	Drammen
Annfrid Vassnes	SV	25	Female	Norsk		1942	NO	Buskerud	0602	Drammen
Gunnar Hansen	SV	26	Male	Norsk		1955	NO	Buskerud	0602	Drammen
Torkild Alsvik	SV	27	Male	Norsk		1944	NO	Buskerud	0602	Drammen
Yousuf Gilani	V	1	Male	Non	Pakistani	1972	YES	Buskerud	0602	Drammen
Ida Marie Brown	V	2	Female	Norsk		1980	YES	Buskerud	0602	Drammen
Linda Jakobsen	V	3	Female	Norsk		1973	YES	Buskerud	0602	Drammen
Eidi Ann Hansen	V	4	Female	Norsk		1972	YES	Buskerud	0602	Drammen
Asgeir Osnes	V	5	Male	Norsk		1973	NO	Buskerud	0602	Drammen
Hamdi Sahal	V	6	Female	Non	Arabic	1997	NO	Buskerud	0602	Drammen
Torhild Wibe	V	7	Female	Norsk		1956	NO	Buskerud	0602	Drammen
Kjersti Beritsdatter	V	8	Female	Norsk		1974	NO	Buskerud	0602	Drammen
Anders Wengen	V	9	Male	Norsk		1976	NO	Buskerud	0602	Drammen
Ida Marie Svingerud	V	10	Female	Norsk		1996	NO	Buskerud	0602	Drammen
Stine Bjørndal	V	11	Female	Norsk		1974	NO	Buskerud	0602	Drammen
Morten Reffhaug	V	12	Male	Norsk		1960	NO	Buskerud	0602	Drammen
Brian Brown	V	13	Male	Norsk		1946	NO	Buskerud	0602	Drammen
Jørgen Mathias Danielsen Sollie	V	14	Male	Norsk		1996	NO	Buskerud	0602	Drammen
Frode Lund Nielsen	V	15	Male	Norsk		1973	NO	Buskerud	0602	Drammen
Helga Falch Johannessen	V	16	Female	Norsk		1973	NO	Buskerud	0602	Drammen
Tor Kristian Tønnesen	V	17	Male	Norsk		1992	NO	Buskerud	0602	Drammen
Karen Marie Mikkelsen	V	18	Female	Norsk		1973	NO	Buskerud	0602	Drammen
Hosayn Fely	V	19	Male	Non	Persian	1992	NO	Buskerud	0602	Drammen
Elisabeth Hegstad Christoffersen	V	20	Female	Norsk		1972	NO	Buskerud	0602	Drammen
Kent Harald Pedersen	V	21	Male	Norsk		1992	NO	Buskerud	0602	Drammen
Annette Andersen	V	22	Female	Norsk		1985	NO	Buskerud	0602	Drammen
Nadim Bhadjwa	V	23	Male	Non	Arabic	1984	NO	Buskerud	0602	Drammen
Semra Ugur	V	24	Female	Non	Turkish	1970	NO	Buskerud	0602	Drammen
Nils Wilhelm Aulie	V	25	Male	Norsk		1975	NO	Buskerud	0602	Drammen
Stine Marie Landås	V	26	Female	Norsk		1982	NO	Buskerud	0602	Drammen
Herulf Johansen	V	27	Male	Norsk		1953	NO	Buskerud	0602	Drammen
Tina Nordgarden	V	28	Female	Norsk		1972	NO	Buskerud	0602	Drammen
Leif Christian Andersen	V	29	Male	Norsk		1954	NO	Buskerud	0602	Drammen
Rune Håndlykken	V	30	Male	Norsk		1954	NO	Buskerud	0602	Drammen
Åse Schaug	V	31	Female	Norsk		1971	NO	Buskerud	0602	Drammen
Joseph Angyal	V	32	Male	Non	Hungarian	1955	NO	Buskerud	0602	Drammen
Embla Petrine Lier	V	33	Female	Norsk		1996	NO	Buskerud	0602	Drammen
Azhar  H.  Gilani	V	34	Male	Non	Pakistani	1937	NO	Buskerud	0602	Drammen
Marthe Koksvik	V	35	Female	Norsk		1997	NO	Buskerud	0602	Drammen
Hege Brandsdal Eriksen	V	36	Female	Norsk		1970	NO	Buskerud	0602	Drammen
Jannicke Bakke-Olsen	V	37	Female	Norsk		1977	NO	Buskerud	0602	Drammen
Amalie Sandviken Sydsæther	V	38	Female	Norsk		1997	NO	Buskerud	0602	Drammen
Øystein Hellkås	V	39	Male	Norsk		1971	NO	Buskerud	0602	Drammen
Lars Evjenth	V	40	Male	Norsk		1968	NO	Buskerud	0602	Drammen
Tom Hedalen	V	41	Male	Norsk		1967	NO	Buskerud	0602	Drammen
Inger Falch Johannessen	V	42	Female	Norsk		1943	NO	Buskerud	0602	Drammen
Jon Helgheim	FRP	1	Male	Norsk		1981	YES	Buskerud	0602	Drammen
Lavrans Kierulf	FRP	2	Male	Norsk		1983	YES	Buskerud	0602	Drammen
Hilde Hovengen	FRP	3	Female	Norsk		1968	YES	Buskerud	0602	Drammen
Arild Østeby	FRP	4	Male	Norsk		1945	YES	Buskerud	0602	Drammen
Ulf Erik Knudsen	FRP	5	Male	Norsk		1964	YES	Buskerud	0602	Drammen
Markus Solberg	FRP	6	Male	Norsk		1994	NO	Buskerud	0602	Drammen
Ole Hovengen	FRP	7	Male	Norsk		1959	NO	Buskerud	0602	Drammen
Helle Merete Nordli Andersen	FRP	8	Female	Norsk		1978	NO	Buskerud	0602	Drammen
Eva Birgitte Sanni Jacobsen	FRP	9	Female	Norsk		1953	NO	Buskerud	0602	Drammen
Anne Kristin Aabo	FRP	10	Female	Norsk		1960	NO	Buskerud	0602	Drammen
Rolf Larsen	FRP	11	Male	Norsk		1947	NO	Buskerud	0602	Drammen
Espen Sæther Alm	FRP	12	Male	Norsk		1964	NO	Buskerud	0602	Drammen
Svein Sveum	FRP	13	Male	Norsk		1951	NO	Buskerud	0602	Drammen
Jan Reidar Johansen	FRP	14	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Hanne Camilla Alm	FRP	15	Female	Norsk		1973	NO	Buskerud	0602	Drammen
Bjørn Ivar Bråthen	FRP	16	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Roar Solli Berntsen	FRP	17	Male	Norsk		1980	NO	Buskerud	0602	Drammen
Håkon Mathisen	FRP	18	Male	Norsk		1946	NO	Buskerud	0602	Drammen
Knut Falck Bergan	FRP	19	Male	Norsk		1955	NO	Buskerud	0602	Drammen
Jan Søhoel	FRP	20	Male	Norsk		1946	NO	Buskerud	0602	Drammen
Tone Bodahl	FRP	21	Female	Norsk		1973	NO	Buskerud	0602	Drammen
Vilde  K. Engen-Helgheim	FRP	22	Female	Norsk		1980	NO	Buskerud	0602	Drammen
Nils Sverre Kleven	FRP	23	Male	Norsk		1949	NO	Buskerud	0602	Drammen
Antonie May Andersen	FRP	24	Female	Norsk		1945	NO	Buskerud	0602	Drammen
Hroar  A. Hansen	FRP	25	Male	Norsk		1947	NO	Buskerud	0602	Drammen
Robert  W. Johnsen	FRP	26	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Tore Opdal Hansen	H	1	Male	Norsk		1956	YES	Buskerud	0602	Drammen
Tove Paule	H	2	Female	Norsk		1951	YES	Buskerud	0602	Drammen
Kristin Haftorn Johansen	H	3	Female	Norsk		1953	YES	Buskerud	0602	Drammen
Dag Fjeld Edvardsen	H	4	Male	Norsk		1970	YES	Buskerud	0602	Drammen
Christina Højer Mørkve	H	5	Female	Norsk		1993	YES	Buskerud	0602	Drammen
Jannike Thorsen	H	6	Female	Norsk		1968	YES	Buskerud	0602	Drammen
Terje Menkerud	H	7	Male	Norsk		1966	NO	Buskerud	0602	Drammen
Egil Ax	H	8	Male	Norsk		1982	NO	Buskerud	0602	Drammen
Sigrid Thielemann	H	9	Female	Norsk		1948	NO	Buskerud	0602	Drammen
Fredrik  A. Haaning	H	10	Male	Norsk		1962	NO	Buskerud	0602	Drammen
Ana Maria Silva-Harper	H	11	Female	Norsk		1960	NO	Buskerud	0602	Drammen
Johan Baumann	H	12	Male	Norsk		1934	NO	Buskerud	0602	Drammen
Henriette Aanesen	H	13	Female	Norsk		1959	NO	Buskerud	0602	Drammen
Mustafa Ünsal	H	14	Male	Non	Turkish	1970	NO	Buskerud	0602	Drammen
Kine Strand Bye	H	15	Female	Norsk		1982	NO	Buskerud	0602	Drammen
Freddy Hoffmann	H	16	Male	Norsk		1959	NO	Buskerud	0602	Drammen
Christine Ax	H	17	Female	Norsk		1990	NO	Buskerud	0602	Drammen
Markus Weierud	H	18	Male	Norsk		1990	NO	Buskerud	0602	Drammen
Hilde Kristin Steen	H	19	Female	Norsk		1992	NO	Buskerud	0602	Drammen
Ivar Bjørnøy Lalim	H	20	Male	Norsk		1987	NO	Buskerud	0602	Drammen
Iris Skarpeid Hesla	H	21	Female	Norsk		1962	NO	Buskerud	0602	Drammen
Tore  E. Brath	H	22	Male	Norsk		1949	NO	Buskerud	0602	Drammen
Tore Klyve Andersen	H	23	Male	Norsk		1945	NO	Buskerud	0602	Drammen
Caroline Hoff	H	24	Female	Norsk		1996	NO	Buskerud	0602	Drammen
Ravi Sunder	H	25	Male	Norsk		1968	NO	Buskerud	0602	Drammen
Ole Kristian Bøen	H	26	Male	Norsk		1988	NO	Buskerud	0602	Drammen
Victoria Fevik	H	27	Female	Norsk		1997	NO	Buskerud	0602	Drammen
Sindre Dahl-Øen	H	28	Male	Norsk		1975	NO	Buskerud	0602	Drammen
Randi Schea	H	29	Female	Norsk		1947	NO	Buskerud	0602	Drammen
Torstein Myklebostad	H	30	Male	Norsk		1978	NO	Buskerud	0602	Drammen
Krystyna Wisniewska	H	31	Female	Non	West Slavic	1950	NO	Buskerud	0602	Drammen
Tord Deildok	H	32	Male	Norsk		1992	NO	Buskerud	0602	Drammen
Sigrid Dyrnes	H	33	Female	Norsk		1947	NO	Buskerud	0602	Drammen
Amrit Paul Singh	H	34	Male	Non	Indian	1978	NO	Buskerud	0602	Drammen
Gunhild Figenschau	H	35	Female	Norsk		1964	NO	Buskerud	0602	Drammen
Egil  J. Bye	H	36	Male	Norsk		1965	NO	Buskerud	0602	Drammen
Jonas Muhammad	H	37	Male	Non	Arabic	1973	NO	Buskerud	0602	Drammen
Laila Margrethe Klem Tveten	H	38	Female	Norsk		1940	NO	Buskerud	0602	Drammen
Leif Auke	H	39	Male	Norsk		1962	NO	Buskerud	0602	Drammen
Bitten Haust	H	40	Female	Norsk		1953	NO	Buskerud	0602	Drammen
Kjell Arne Hermansen	H	41	Male	Norsk		1966	NO	Buskerud	0602	Drammen
Anne Sveaas	H	42	Female	Norsk		1946	NO	Buskerud	0602	Drammen
Tor Erland Langen	H	43	Male	Norsk		1978	NO	Buskerud	0602	Drammen
Yngvar Hennum	H	44	Male	Norsk		1946	NO	Buskerud	0602	Drammen
Kristoffer Finsrud	H	45	Male	Norsk		1996	NO	Buskerud	0602	Drammen
Sachuth Anandan	H	46	Male	Non	Indian	1962	NO	Buskerud	0602	Drammen
Fredrik Østlid	H	47	Male	Norsk		1997	NO	Buskerud	0602	Drammen
Brynjulf Uppheim	H	48	Male	Norsk		1944	NO	Buskerud	0602	Drammen
Lars Erik Mehlen	H	49	Male	Norsk		1951	NO	Buskerud	0602	Drammen
Bjørn Orhagen	H	50	Male	Norsk		1939	NO	Buskerud	0602	Drammen
Britta Bech Gulbrandsen	H	51	Female	Norsk		1974	NO	Buskerud	0602	Drammen
Harald Wessel-Berg	H	52	Male	Norsk		1955	NO	Buskerud	0602	Drammen
Ingunn Brekke	H	53	Female	Norsk		1966	NO	Buskerud	0602	Drammen
Terje Vegard Kopperud	H	54	Male	Norsk		1958	NO	Buskerud	0602	Drammen
Bjørn Ivar Gran	V	1	Male	Norsk		1969	YES	Akershus	0230	Lørenskog
Monica Ottesen Oseberg	V	2	Female	Norsk		1966	YES	Akershus	0230	Lørenskog
Frode Hofset	V	3	Male	Norsk		1953	YES	Akershus	0230	Lørenskog
Rolf Kanstad	V	4	Male	Norsk		1963	NO	Akershus	0230	Lørenskog
Per Flatberg	V	5	Male	Norsk		1937	NO	Akershus	0230	Lørenskog
Inger Johanne Tangen	V	6	Female	Norsk		1943	NO	Akershus	0230	Lørenskog
Ola Govart Strømme	V	7	Male	Norsk		1959	NO	Akershus	0230	Lørenskog
Alf Knutsen	V	8	Male	Norsk		1965	NO	Akershus	0230	Lørenskog
Ruth Elisabeth Sandring	V	9	Female	Norsk		1976	NO	Akershus	0230	Lørenskog
Petter Kirkeby Risøe	V	10	Male	Norsk		1981	NO	Akershus	0230	Lørenskog
Lars Harald Langøy	V	11	Male	Norsk		1964	NO	Akershus	0230	Lørenskog
Shakila Ashraf Nabi	V	12	Female	Non	Arabic	1975	NO	Akershus	0230	Lørenskog
Ingvill Heramb	V	13	Female	Non	Indian	1962	NO	Akershus	0230	Lørenskog
Harald Aksel Njaa	V	14	Male	Norsk		1970	NO	Akershus	0230	Lørenskog
Arnold Kyrre Martinsen	V	15	Male	Norsk		1955	NO	Akershus	0230	Lørenskog
Marit Kristine Hofset	V	16	Female	Norsk		1961	NO	Akershus	0230	Lørenskog
Sara Wedul Gundersen	V	17	Female	Norsk		1997	NO	Akershus	0230	Lørenskog
Ada Bakke	V	18	Female	Norsk		1945	NO	Akershus	0230	Lørenskog
Christine Fleissner Sunding	V	19	Female	Norsk		1973	NO	Akershus	0230	Lørenskog
Jarle Presttun	V	20	Male	Norsk		1977	NO	Akershus	0230	Lørenskog
Dag Haugland	V	21	Male	Norsk		1955	NO	Akershus	0230	Lørenskog
Erling Johan Abelsen	V	22	Male	Norsk		1934	NO	Akershus	0230	Lørenskog
Signy Rustlie	V	23	Female	Norsk		1938	NO	Akershus	0230	Lørenskog
Karsten Molværsmyr	V	24	Male	Norsk		1952	NO	Akershus	0230	Lørenskog
Berit Noer Smedstad	V	25	Female	Norsk		1937	NO	Akershus	0230	Lørenskog
Runar Reppe Bell	V	26	Male	Norsk		1975	NO	Akershus	0230	Lørenskog
Bjørg Orheim	V	27	Female	Norsk		1952	NO	Akershus	0230	Lørenskog
Torild Jørgensen	V	28	Female	Norsk		1963	NO	Akershus	0230	Lørenskog
Arne Johansson Fjørtoft	V	29	Male	Norsk		1937	NO	Akershus	0230	Lørenskog
Ragnhild Synnøve Bergheim	AP	1	Female	Norsk		1962	YES	Akershus	0230	Lørenskog
Knut Jan Nielsen	AP	2	Male	Norsk		1955	YES	Akershus	0230	Lørenskog
Vera Maritta Solaas Moen	AP	3	Female	Norsk		1970	YES	Akershus	0230	Lørenskog
Sverre Bugge	AP	4	Male	Norsk		1953	YES	Akershus	0230	Lørenskog
Grete Johanne Crowo	AP	5	Female	Norsk		1968	YES	Akershus	0230	Lørenskog
Stian Petter Løken	AP	6	Male	Norsk		1990	YES	Akershus	0230	Lørenskog
Sissel Lorck	AP	7	Female	Norsk		1963	NO	Akershus	0230	Lørenskog
Agnar Johannes Ryan	AP	8	Male	Norsk		1945	NO	Akershus	0230	Lørenskog
Nivethiga Arulthas	AP	9	Female	Non	Sri Lankan	1992	NO	Akershus	0230	Lørenskog
Asbjørn Ringstad	AP	10	Male	Norsk		1948	NO	Akershus	0230	Lørenskog
Ellen Catharina Tveter Deilkås	AP	11	Female	Norsk		1966	NO	Akershus	0230	Lørenskog
Tor Einar Ljønes	AP	12	Male	Norsk		1962	NO	Akershus	0230	Lørenskog
Anita Patel	AP	13	Female	Non	Indian	1971	NO	Akershus	0230	Lørenskog
Bernt Olav Furø	AP	14	Male	Norsk		1960	NO	Akershus	0230	Lørenskog
Karianne Thodesen Heinert	AP	15	Female	Norsk		1993	NO	Akershus	0230	Lørenskog
Erlend Husby	AP	16	Male	Norsk		1972	NO	Akershus	0230	Lørenskog
Aina Signe Guro Bøen	AP	17	Female	Norsk		1945	NO	Akershus	0230	Lørenskog
Sverre Olav Jenssen	AP	18	Male	Norsk		1944	NO	Akershus	0230	Lørenskog
